#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Apr 18 19:32:24 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Top_map.ncd
#OUTPUT FILE:      Top_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -4
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
B13,,DIFFS,IO_L05N_0/VREF_0,UNUSED,,0,,,,,,,,,
B14,,DIFFM,IO_L04P_0,UNUSED,,0,,,,,,,,,
B15,,DIFFMI,IP_L02P_0,UNUSED,,0,,,,,,,,,
B16,,DIFFM,IO_L01P_0,UNUSED,,0,,,,,,,,,
B17,,,GND,,,,,,,,,,,,
B18,rst_n,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
C1,pc_out<0>,IOB,IO_L01P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C2,pc_out<1>,IOB,IO_L01N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C3,inst<20>,IOB,IO_L25P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C4,reg_din<5>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C5,reg_din<28>,IOB,IO_L23P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C6,,,VCCO_0,,,0,,,,,2.50,,,,
C7,RegWrite,IOB,IO_L18P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C8,,DIFFMI,IP_L16P_0,UNUSED,,0,,,,,,,,,
C9,reg_din<27>,IOB,IO_L14P_0/GCLK10,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C10,,,GND,,,,,,,,,,,,
C11,reg_din<21>,IOB,IO_L09P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C12,,DIFFMI,IP_L07P_0,UNUSED,,0,,,,,,,,,
C13,,,VCCO_0,,,0,,,,,2.50,,,,
C14,,DIFFS,IO_L03N_0/VREF_0,UNUSED,,0,,,,,,,,,
C15,,IBUF,IP,UNUSED,,0,,,,,,,,,
C16,,,TDO,,,,,,,,,,,,
C17,,DIFFS,IO_L24N_1/LDC2,UNUSED,,1,,,,,,,,,
C18,,DIFFM,IO_L24P_1/LDC1,UNUSED,,1,,,,,,,,,
D1,pc_out<2>,IOB,IO_L02P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D2,pc_out<3>,IOB,IO_L02N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D3,,IBUF,IP,UNUSED,,3,,,,,,,,,
D4,,,NC,,,,,,,,,,,,
D5,pc_out<5>,IOB,IO_L23N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D6,,,NC,,,,,,,,,,,,
D7,reg_din<7>,IOB,IO_L18N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D8,,DIFFSI,IP_L16N_0,UNUSED,,0,,,,,,,,,
D9,reg_din<6>,IOB,IO_L14N_0/GCLK11,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D10,reg_din<25>,IOB,IO_L11P_0/GCLK4,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D11,reg_din<31>,IOB,IO_L09N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D12,,DIFFSI,IP_L07N_0,UNUSED,,0,,,,,,,,,
D13,,IBUF,IP,UNUSED,,0,,,,,,,,,
D14,,DIFFM,IO_L03P_0,UNUSED,,0,,,,,,,,,
D15,,,TMS,,,,,,,,,,,,
D16,,DIFFS,IO_L23N_1/LDC0,UNUSED,,1,,,,,,,,,
D17,,DIFFM,IO_L23P_1/HDC,UNUSED,,1,,,,,,,,,
D18,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
E1,zero<1>,IOB,IO_L03N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E2,pc_out<4>,IOB,IO_L03P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E3,,,NC,,,,,,,,,,,,
E4,,,NC,,,,,,,,,,,,
E5,,,VCCINT,,,,,,,,1.2,,,,
E6,,,NC,,,,,,,,,,,,
E7,reg_din<2>,IOB,IO_L19N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E8,reg_addr3<1>,IOB,IO_L17P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E9,reg_addr3<0>,IOB,IO_L15P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E10,reg_din<24>,IOB,IO_L11N_0/GCLK5,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E11,reg_din<23>,IOB,IO_L08P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E12,,DIFFS,IO_L06N_0,UNUSED,,0,,,,,,,,,
E13,,IOB,IO,UNUSED,,0,,,,,,,,,
E14,,,VCCINT,,,,,,,,1.2,,,,
E15,,,NC,,,,,,,,,,,,
E16,,,NC,,,,,,,,,,,,
E17,,IOB,IO,UNUSED,,1,,,,,,,,,
E18,,IBUF,IP,UNUSED,,1,,,,,,,,,
F1,reg_din<29>,IOB,IO_L05P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F2,pc_in1<1>,IOB,IO_L05N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F3,,,VCCO_3,,,3,,,,,2.50,,,,
F4,reg_din<30>,IOB,IO,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F5,,IBUF,IP,UNUSED,,3,,,,,,,,,
F6,,,VCCINT,,,,,,,,1.2,,,,
F7,pc_in1<2>,IOB,IO_L19P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F8,RegDst,IOB,IO_L17N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F9,reg_addr3<4>,IOB,IO_L15N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F10,,DIFFMI,IP_L10P_0,UNUSED,,0,,,,,,,,,
F11,aluresult<28>,IOB,IO_L08N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
F12,reg_din<22>,IOB,IO_L06P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F13,,,VCCINT,,,,,,,,1.2,,,,
F14,,DIFFS,IO_L21N_1,UNUSED,,1,,,,,,,,,
F15,,DIFFM,IO_L21P_1,UNUSED,,1,,,,,,,,,
F16,,,VCCO_1,,,1,,,,,2.50,,,,
F17,reg_din<19>,IOB,IO_L19N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F18,reg_din<18>,IOB,IO_L19P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G1,,IBUF,IP,UNUSED,,3,,,,,,,,,
G2,,,VCCAUX,,,,,,,,2.5,,,,
G3,pc_in1<4>,IOB,IO_L06P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G4,reg_din<26>,IOB,IO_L06N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G5,reg_addr3<3>,IOB,IO_L07N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G6,pc_in1<3>,IOB,IO_L07P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G7,,,GND,,,,,,,,,,,,
G8,,,VCCO_0,,,0,,,,,2.50,,,,
G9,reg_addr3<2>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G10,,DIFFSI,IP_L10N_0,UNUSED,,0,,,,,,,,,
G11,,,VCCO_0,,,0,,,,,2.50,,,,
G12,,,GND,,,,,,,,,,,,
G13,,DIFFS,IO_L20N_1,UNUSED,,1,,,,,,,,,
G14,reg_din<20>,IOB,IO_L20P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G15,aluresult<20>,IOB,IO_L18P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
G16,srcb<29>,IOB,IO_L18N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G17,,,VCCAUX,,,,,,,,2.5,,,,
G18,,IBUF,IP,UNUSED,,1,,,,,,,,,
H1,Branch,IOB,IO_L10N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H2,inst<4>,IOB,IO_L10P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H3,inst<0>,IOB,IO_L09N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H4,inst<2>,IOB,IO_L09P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H5,srcb<19>,IOB,IO_L08N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H6,inst<3>,IOB,IO_L08P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H7,,,VCCO_3,,,3,,,,,2.50,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,GND,,,,,,,,,,,,
H12,,,VCCO_1,,,1,,,,,2.50,,,,
H13,,IBUF,IP,UNUSED,,1,,,,,,,,,
H14,aluresult<25>,IOB,IO_L17P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
H15,srcb<28>,IOB,IO_L17N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H16,aluresult<26>,IOB,IO_L16P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
H17,aluresult<29>,IOB,IO_L16N_1/A0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
H18,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
J1,srcb<23>,IOB,IO_L12P_3/LHCLK2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J2,srcb<14>,IOB,IO_L12N_3/LHCLK3/IRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J3,,,GND,,,,,,,,,,,,
J4,srcb<22>,IOB,IO_L11N_3/LHCLK1,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J5,inst<1>,IOB,IO_L11P_3/LHCLK0,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J6,,IBUF,IP/VREF_3,UNUSED,,3,,,,,,,,,
J7,,IBUF,IP,UNUSED,,3,,,,,,,,,
J8,,,GND,,,,,,,,,,,,
J11,,,GND,,,,,,,,,,,,
J12,srcb<31>,IOB,IO_L15P_1/A2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J13,srcb<27>,IOB,IO_L15N_1/A1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J14,aluresult<30>,IOB,IO_L14N_1/A3/RHCLK7,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
J15,aluresult<31>,IOB,IO_L14P_1/A4/RHCLK6,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
J16,aluresult<27>,IOB,IO_L13N_1/A5/RHCLK5,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
J17,aluresult<24>,IOB,IO_L13P_1/A6/RHCLK4/IRDY1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
J18,,,VCCO_1,,,1,,,,,2.50,,,,
K1,,,VCCO_3,,,3,,,,,2.50,,,,
K2,,IBUF,IP,UNUSED,,3,,,,,,,,,
K3,srcb<17>,IOB,IO_L13P_3/LHCLK4/TRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K4,pc_in1<0>,IOB,IO_L13N_3/LHCLK5,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K5,srcb<4>,IOB,IO_L14N_3/LHCLK7,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K6,srcb<12>,IOB,IO_L14P_3/LHCLK6,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K7,,IBUF,IP,UNUSED,,3,,,,,,,,,
K8,,,GND,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,
K12,aluresult<18>,IOB,IO_L11N_1/A9/RHCLK1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
K13,srcb<25>,IOB,IO_L11P_1/A10/RHCLK0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K14,aluresult<22>,IOB,IO_L12N_1/A7/RHCLK3/TRDY1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
K15,aluresult<23>,IOB,IO_L12P_1/A8/RHCLK2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
K16,,,GND,,,,,,,,,,,,
K17,,IBUF,IP,UNUSED,,1,,,,,,,,,
K18,,IBUF,IP,UNUSED,,1,,,,,,,,,
L1,srcb<8>,IOB,IO_L15P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L2,srcb<3>,IOB,IO_L15N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L3,srcb<5>,IOB,IO_L16P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L4,srcb<6>,IOB,IO_L16N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L5,srcb<7>,IOB,IO_L17N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L6,srcb<0>,IOB,IO_L17P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L7,,,VCCO_3,,,3,,,,,2.50,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,GND,,,,,,,,,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCO_1,,,1,,,,,2.50,,,,
L13,,IBUF,IP,UNUSED,,1,,,,,,,,,
L14,,IBUF,IP,UNUSED,,1,,,,,,,,,
L15,aluresult<2>,IOB,IO_L09N_1/A11,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
L16,aluresult<21>,IOB,IO_L09P_1/A12,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
L17,reg_din<10>,IOB,IO_L10N_1/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L18,aluresult<17>,IOB,IO_L10P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
M1,,IBUF,IP,UNUSED,,3,,,,,,,,,
M2,,,VCCAUX,,,,,,,,2.5,,,,
M3,inst<29>,IOB,IO_L18N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M4,inst<6>,IOB,IO_L18P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M5,srcb<1>,IOB,IO_L19P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M6,MemWrite,IOB,IO_L19N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M7,,,GND,,,,,,,,,,,,
M8,,,VCCO_2,,,2,,,,,2.50,,,,
M9,srcb<16>,IOB,IO_L12N_2/D6/GCLK13,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M10,srcb<30>,IOB,IO_L16P_2/M0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M11,,,VCCO_2,,,2,,,,,2.50,,,,
M12,,,GND,,,,,,,,,,,,
M13,aluresult<14>,IOB,IO_L05N_1/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
M14,aluresult<9>,IOB,IO_L05P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
M15,aluresult<0>,IOB,IO_L07P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
M16,reg_din<14>,IOB,IO_L07N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M17,,,VCCAUX,,,,,,,,2.5,,,,
M18,reg_din<15>,IOB,IO_L08N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N1,,IBUF,IP,UNUSED,,3,,,,,,,,,
N2,,IBUF,IP,UNUSED,,3,,,,,,,,,
N3,,,VCCO_3,,,3,,,,,2.50,,,,
N4,inst<23>,IOB,IO_L20P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N5,inst<18>,IOB,IO_L20N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N6,,,VCCINT,,,,,,,,1.2,,,,
N7,inst<17>,IOB,IO_L07P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N8,inst<31>,IOB,IO_L09N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N9,srcb<15>,IOB,IO_L12P_2/D7/GCLK12,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N10,srcb<10>,IOB,IO_L16N_2/DIN/D0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N11,aluresult<1>,IOB,IO_L18N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
N12,,,NC,,,,,,,,,,,,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,,,NC,,,,,,,,,,,,
N15,,,NC,,,,,,,,,,,,
N16,,,VCCO_1,,,1,,,,,2.50,,,,
N17,,IBUF,IP,UNUSED,,1,,,,,,,,,
N18,aluresult<16>,IOB,IO_L08P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P1,inst<19>,IOB,IO_L21N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P2,inst<27>,IOB,IO_L21P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P3,,,NC,,,,,,,,,,,,
P4,,,NC,,,,,,,,,,,,
P5,,,VCCINT,,,,,,,,1.2,,,,
P6,inst<26>,IOB,IO_L05N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P7,inst<24>,IOB,IO_L07N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P8,srcb<11>,IOB,IO_L09P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P9,srcb<24>,IOB,IO,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P10,srcb<9>,IOB,IO_L15N_2/D1/GCLK3,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P11,aluresult<3>,IOB,IO_L18P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P12,,,NC,,,,,,,,,,,,
P13,aluresult<7>,IOB,IO_L22P_2/A23,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P14,,,VCCINT,,,,,,,,1.2,,,,
P15,aluresult<15>,IOB,IO,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P16,,,NC,,,,,,,,,,,,
P17,reg_din<4>,IOB,IO_L06P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P18,aluresult<19>,IOB,IO_L06N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
R1,,IBUF,IP,UNUSED,,3,,,,,,,,,
R2,inst<7>,IOB,IO_L23N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R3,inst<15>,IOB,IO_L23P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R4,inst<25>,IOB,IO/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R5,inst<28>,IOB,IO_L04P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R6,inst<16>,IOB,IO_L05P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R7,,DIFFSI,IP_L08N_2,UNUSED,,2,,,,,,,,,
R8,srcb<13>,IOB,IO_L10P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R9,srcb<21>,IOB,IO/D5,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R10,srcb<2>,IOB,IO_L15P_2/D2/GCLK2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R11,aluresult<5>,IOB,IO,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
